"Modified","CVE-2011-3178","CWE-78" "CWE-94",,,,,,,,,"security@opentext.com" "nvd@nist.gov",8.1 8.8,"HIGH" "HIGH","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N" "CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:o:opensuse:open_build_service:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-4952","NVD-CWE-noinfo",,,,,,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H","nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:ibm:endpoint_manager_for_remote_control:9.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:endpoint_manager_for_remote_control:9.1.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-4953","CWE-326",,,,,,,,,"nvd@nist.gov",4.8,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N","nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:N","cpe:2.3:a:ibm:bigfix_remote_control:9.1.2:*:*:*:*:*:*:*"
"Modified","CVE-2015-4954","CWE-295",,,,,,,,,"nvd@nist.gov",5.9,"MEDIUM","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ibm:bigfix_remote_control:9.1.2:*:*:*:*:*:*:*"
"Modified","CVE-2015-4987","CWE-287",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N","nvd@nist.gov",6.4,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:P/A:N","cpe:2.3:a:ibm:tealeaf_customer_experience:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-5016","CWE-200",,,,,,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:ibm:maximo_asset_management:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_asset_management:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_asset_management:7.6:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_asset_management_essentials:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_asset_management_essentials:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_energy_optimization:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_aviation:7.6:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_government:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_government:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_nuclear_power:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_nuclear_power:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_transportation:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_transportation:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_transportation:7.6:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_life_sciences:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_life_sciences:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_life_sciences:7.6:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_oil_and_gas:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_oil_and_gas:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_utilities:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:maximo_for_utilities:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:control_desk:7.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:control_desk:7.6:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:tivoli_asset_management_for_it:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:tivoli_asset_management_for_it:7.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:tivoli_service_request_manager:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:tivoli_service_request_manager:7.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:change_and_configuration_management_database:7.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:change_and_configuration_management_database:7.2:*:*:*:*:*:*:*"
"Modified","CVE-2015-5039","CWE-310",,,,,,,,,"nvd@nist.gov",7.4,"HIGH","CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N","nvd@nist.gov",5.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:N","cpe:2.3:a:ibm:rational_clearcase:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_clearcase:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_clearcase:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-5045","CWE-200",,,,,,,,,"nvd@nist.gov",3.3,"LOW","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:rational_license_key_server:8.1.4:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.3:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.4:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.5:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.6:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.7:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.8:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_license_key_server:8.1.4.9:*:*:*:*:*:*:*"
"Modified","CVE-2015-5350","CWE-284",,,,,,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N","nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:cloudfoundry:garden:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-5377","CWE-74",,,,,,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:elastic:elasticsearch:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-7401","CWE-200",,,,,,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:ibm:curam_social_program_management:*:*:*:*:*:*:*:*"
"Modified","CVE-2015-7423","CWE-79",,,,,,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:infosphere_master_data_management:9.1:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:10.1:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.0:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.3:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.4:*:*:*:collaborative:*:*:*"
"Modified","CVE-2015-7424","CWE-200",,,,,,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:P/I:N/A:N","cpe:2.3:a:ibm:infosphere_master_data_management:9.1:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:10.1:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.0:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.3:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.4:*:*:*:collaborative:*:*:*" "cpe:2.3:a:ibm:infosphere_master_data_management:11.5:*:*:*:collaborative:*:*:*"
"Modified","CVE-2015-7432","CWE-200",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:capacity_management_analytics:2.1.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7433","CWE-200",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:capacity_management_analytics:2.1.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7434","CWE-200",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:capacity_management_analytics:2.1.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7440","CWE-264",,,,,,,,,"nvd@nist.gov",7.8,"HIGH","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","nvd@nist.gov",4.6,MEDIUM,"AV:L/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ibm:rational_collaborative_lifecycle_management:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_requirements_composer:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_requirements_composer:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0.1:*:*:*:*:*:*:*"
"Modified","CVE-2015-7449","CWE-200" "CWE-326",,,,,,,,,"nvd@nist.gov",3.3,"LOW","CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N","nvd@nist.gov",2.1,LOW,"AV:L/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:ibm:rational_collaborative_lifecycle_management:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_requirements_composer:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0.2:*:*:*:*:*:*:*"
"Modified","CVE-2015-7453","CWE-79",,,,,,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:ibm:rational_collaborative_lifecycle_management:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_quality_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_team_concert:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_requirements_composer:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_requirements_composer:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_doors_next_generation:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_engineering_lifecycle_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_rhapsody_design_manager:6.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:rational_software_architect_design_manager:6.0.1:*:*:*:*:*:*:*"
"Modified","CVE-2015-7458","CWE-79",,,,,,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:connections:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.0.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:5.0.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7459","CWE-79",,,,,,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:connections:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.0.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:5.0.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7460","CWE-79",,,,,,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N","nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ibm:connections:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.0.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:5.0.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7461","CWE-399" "CWE-611",,,,,,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H","nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:N/A:P","cpe:2.3:a:ibm:connections:*:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.0.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:4.5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:connections:5.0.0.0:*:*:*:*:*:*:*"
"Modified","CVE-2015-7463","CWE-285",,,,,,,,,"nvd@nist.gov",4.3,"MEDIUM","CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N","nvd@nist.gov",5.5,MEDIUM,"AV:N/AC:L/Au:S/C:N/I:P/A:P","cpe:2.3:a:ibm:business_process_manager:7.5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:7.5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:7.5.1.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:7.5.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:7.5.1.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.0.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.0.1.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.0.1.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.0.1.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.0.1.3:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.5.0.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.5.0.1:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.5.0.2:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.5.5.0:*:*:*:*:*:*:*" "cpe:2.3:a:ibm:business_process_manager:8.5.6.0:*:*:*:*:*:*:*"
